person,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285
B,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857
C,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285
D,0.2857142857142857,0.42857142857142855,0.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
E,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285
F,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.0
G,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714
H,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0
I,0.5714285714285714,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
J,0.14285714285714285,0.0,0.5714285714285714,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855
K,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.2857142857142857,0.14285714285714285
L,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285
M,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0
