person,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6666666666666666,0.25,0.0,0.6666666666666666,0.0
B,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
C,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,0.0
D,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
E,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0
F,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0
G,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
H,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0
I,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
J,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
K,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0
L,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.3333333333333333,0.25,0.0,0.0,0.0
M,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0
